"postId","commentId","content","timestamp","likeCount"
"Nj-cd3SXYII","UgwiZoN_LE2DvL0hB1x4AaABAg","Anh tôi ở lào cai","07/10/2024 15:52","2"
"Nj-cd3SXYII","UgzoXeyCxdiR6l60Ynl4AaABAg","T ở Thái Nguyên nhưng nhà t ko bị sao mà 
Chỉ bị vỡ 1 cái cuửa kính thoii ((-","10/11/2024 17:55","0"
"Nj-cd3SXYII","UgwQ7Dg5f1MHr8ywdCF4AaABAg","em ở Đồng Hòa nhà em chỉ bị bay luôn cái nhà của con chó nhà em giờ nó vẫn đang ngồi khóc ko ăn ko uống","18/10/2024 20:02","0"
"Nj-cd3SXYII","UgyciUZdI9gNS0MYFN54AaABAg","Cuối cùng vẫn là 24…","21/09/2024 21:36","0"
"Nj-cd3SXYII","UgzgZLrel3hniWzLqIN4AaABAg","Ở đây ai ở Thái Nguyên thì điểm danh với","05/10/2024 20:22","0"
"Nj-cd3SXYII","Ugz1snbohi7TUl2xLFd4AaABAg","Điện Biên ko có báo haha","27/10/2024 10:24","0"
"Nj-cd3SXYII","UgwpTi9ziczr6ffZ4cZ4AaABAg","Tui ở Thái Nguyên nên không bị sao ❤","26/10/2024 22:51","0"
"Nj-cd3SXYII","UgwJ_t6wu3-R0PcUnJV4AaABAg","Phú Thọ quê tôi cầu phong châu gần nhà tui","21/09/2024 13:28","1"
"Nj-cd3SXYII","UgxrFMCPP0m-CDBMR-x4AaABAg","cả hà nội nữa cơ mà","06/10/2024 10:58","0"
"Nj-cd3SXYII","UgwWX0osyHEDYU-g6MN4AaABAg","hà giang có nặng đâu mưa thôi","01/11/2024 20:28","0"
"Nj-cd3SXYII","Ugxvuj57UuKS64RLKV14AaABAg","Nam mô a di đà Phật","22/09/2024 16:03","1"
"Nj-cd3SXYII","UgzRYcbFWdSCraCwPXF4AaABAg","mong phú thọ đc yên bình🙏😢","08/10/2024 20:54","0"
"Nj-cd3SXYII","UgxQaLN1gSmAxOAtGJ54AaABAg","Quê mình ở Phú Thọ mà trên đấy sập cầu 😢","27/10/2024 18:00","0"
